ann_term	sum	annotation
PF01867	2	CRISPR associated protein Cas1
PF01868	43	Domain of unknown function UPF0086
PF01869	37	BadF/BadG/BcrA/BcrD ATPase family
PF01871	52	AMMECR1
PF01872	22	RibD C-terminal domain
PF01873	100	Domain found in IF2B/IF5
PF01875	41	Memo-like protein
PF01876	47	RNase P subunit p30
PF01878	29	EVE domain
PF01883	90	Iron-sulfur cluster assembly protein
PF01884	1	PcrB family
PF01885	41	RNA 2'-phosphotransferase, Tpt1 / KptA family
PF01894	35	Uncharacterised protein family UPF0047
PF01895	4	PhoU domain
PF01896	49	DNA primase small subunit
PF01900	71	Rpp14/Pop5 family
PF01902	56	Diphthamide synthase
PF01903	15	CbiX
PF01904	2	Protein of unknown function DUF72
PF01906	6	Putative heavy-metal-binding
PF01907	61	Ribosomal protein L37e
PF01909	299	Nucleotidyltransferase domain
PF01910	4	Thiamine-binding protein
PF01912	51	eIF-6 family
PF01915	215	Glycosyl hydrolase family 3 C-terminal domain
PF01916	56	Deoxyhypusine synthase
PF01918	99	Alba
PF01920	199	Prefoldin subunit
PF01921	1	tRNA synthetases class I (K)
PF01922	50	SRP19 protein
PF01923	37	Cobalamin adenosyltransferase
PF01925	130	Sulfite exporter TauE/SafE
PF01926	933	50S ribosome-binding GTPase
PF01927	35	Mut7-C RNAse domain
PF01928	46	CYTH domain
PF01929	52	Ribosomal protein L14
PF01930	4	Domain of unknown function DUF83
PF01931	25	Protein of unknown function DUF84
PF01933	18	Uncharacterised protein family UPF0052
PF01936	80	NYN domain
PF01937	98	Protein of unknown function DUF89
PF01938	50	TRAM domain
PF01940	53	Integral membrane protein DUF92
PF01944	1	Stage II sporulation protein M
PF01946	23	Thi4 family
PF01947	9	p-hydroxybenzoic acid synthase
PF01951	27	Archease protein family (MTH1598/TM1083)
PF01956	90	Integral membrane protein EMC3/TMCO1-like
PF01958	20	Domain of unknown function DUF108
PF01959	8	3-dehydroquinate synthase II
PF01960	23	ArgJ family
PF01963	74	TraB family
PF01964	9	Radical SAM ThiC family
PF01965	155	DJ-1/PfpI family
PF01966	100	HD domain
PF01967	41	MoaC family
PF01968	59	Hydantoinase/oxoprolinase
PF01969	8	Protein of unknown function DUF111
PF01970	3	Tripartite tricarboxylate transporter TctA family
PF01974	82	tRNA intron endonuclease, catalytic C-terminal domain
PF01975	23	Survival protein SurE
PF01977	5	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF01979	347	Amidohydrolase family
PF01980	40	tRNA-methyltransferase O
PF01981	106	Peptidyl-tRNA hydrolase PTH2
PF01984	49	Double-stranded DNA-binding domain
PF01985	149	CRS1 / YhbY (CRM) domain
PF01987	27	Mitochondrial biogenesis AIM24
PF01988	83	VIT family
PF01989	1	Aconitase X swivel domain
PF01990	49	ATP synthase (F/14-kDa) subunit
PF01991	66	ATP synthase (E/31 kDa) subunit
PF01992	60	ATP synthase (C/AC39) subunit
PF01997	77	Translin family
PF02002	49	TFIIE alpha subunit
PF02005	101	N2,N2-dimethylguanosine tRNA methyltransferase
PF02008	210	CXXC zinc finger domain
PF02009	1	Rifin
PF02010	163	REJ domain
PF02014	166	Reeler domain
PF02015	4	Glycosyl hydrolase family 45
PF02016	3	LD-carboxypeptidase N-terminal domain
PF02017	77	CIDE-N domain
PF02018	50	Carbohydrate binding domain
PF02019	40	WIF domain
PF02020	220	eIF4-gamma/eIF5/eIF2-epsilon
PF02022	11	Integrase Zinc binding domain
PF02023	574	SCAN domain
PF02024	10	Leptin
PF02025	7	Interleukin 5
PF02026	247	RyR domain
PF02028	14	BCCT, betaine/carnitine/choline family transporter
PF02029	40	Caldesmon
PF02033	28	Ribosome-binding factor A
PF02036	146	SCP-2 sterol transfer family
PF02037	422	SAP domain
PF02038	71	ATP1G1/PLM/MAT8 family
PF02040	2	Arsenical pump membrane protein
PF02041	6	Auxin binding protein
PF02042	150	RWP-RK domain
PF02044	23	Bombesin-like peptide
PF02045	86	CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B
PF02046	53	Cytochrome c oxidase subunit VIa
PF02049	1	Flagellar hook-basal body complex protein FliE
PF02055	99	Glycosyl hydrolase family 30 TIM-barrel domain
PF02057	20	Glycosyl hydrolase family 59
PF02058	20	Guanylin precursor
PF02059	6	Interleukin-3
PF02060	47	Slow voltage-gated potassium channel
PF02063	37	MARCKS family
PF02064	44	MAS20 protein import receptor
PF02065	3	Melibiase
PF02067	6	Metallothionein family 5
PF02068	7	Plant PEC family metallothionein
PF02070	11	Neuromedin U
PF02071	6	Aromatic-di-Alanine (AdAR) repeat
PF02072	15	Prepro-orexin
PF02074	4	Carboxypeptidase Taq (M32) metallopeptidase
PF02075	3	Crossover junction endodeoxyribonuclease RuvC
PF02076	7	Pheromone A receptor
PF02077	44	SURF4 family
PF02078	47	Synapsin, N-terminal domain
PF02079	6	Nuclear transition protein 1
PF02080	20	TrkA-C domain
PF02083	20	Urotensin II
PF02086	1	D12 class N6 adenine-specific DNA methyltransferase
PF02089	135	Palmitoyl protein thioesterase
PF02091	9	Glycyl-tRNA synthetase alpha subunit
PF02092	9	Glycyl-tRNA synthetase beta subunit
PF02093	93	Gag P30 core shell protein
PF02095	29	Extensin-like protein repeat
PF02096	94	60Kd inner membrane protein
PF02099	88	Josephin
PF02100	50	Ornithine decarboxylase antizyme
PF02101	22	Ocular albinism type 1 protein
PF02102	5	Deuterolysin metalloprotease (M35) family
PF02104	48	SURF1 family
PF02106	16	Fanconi anaemia group C protein
PF02108	1	Flagellar assembly protein FliH
PF02109	46	DAD family
PF02110	15	Hydroxyethylthiazole kinase family
PF02112	9	cAMP phosphodiesterases class-II
PF02113	1	D-Ala-D-Ala carboxypeptidase 3 (S13) family
PF02114	105	Phosducin
PF02115	78	RHO protein GDP dissociation inhibitor
PF02116	5	Fungal pheromone mating factor STE2 GPCR
PF02117	59	Serpentine type 7TM GPCR chemoreceptor Sra
PF02118	130	Srg family chemoreceptor
PF02120	1	Flagellar hook-length control protein FliK
PF02121	138	Phosphatidylinositol transfer protein
PF02126	31	Phosphotriesterase family
PF02127	54	Aminopeptidase I zinc metalloprotease (M18)
PF02128	1	Fungalysin metallopeptidase (M36)
PF02129	31	X-Pro dipeptidyl-peptidase (S15 family)
PF02130	31	Uncharacterized protein family UPF0054
PF02132	1	RecR protein
PF02133	52	Permease for cytosine/purines, uracil, thiamine, allantoin
PF02135	222	TAZ zinc finger
PF02136	228	Nuclear transport factor 2 (NTF2) domain
PF02137	148	Adenosine-deaminase (editase) domain
PF02138	284	Beige/BEACH domain
PF02140	548	Galactose binding lectin domain
PF02141	390	DENN (AEX-3) domain
PF02142	111	MGS-like domain
PF02144	48	Repair protein Rad1/Rec1/Rad17
PF02145	244	Rap/ran-GAP
PF02146	272	Sir2 family
PF02148	348	Zn-finger in ubiquitin-hydrolases and other protein
PF02149	130	Kinase associated domain 1
PF02150	82	RNA polymerases M/15 Kd subunit
PF02151	44	UvrB/uvrC motif
PF02152	32	Dihydroneopterin aldolase
PF02153	27	Prephenate dehydrogenase
PF02155	14	Glucocorticoid receptor
PF02156	4	Glycosyl hydrolase family 26
PF02157	35	Mannose-6-phosphate receptor
PF02158	25	Neuregulin intracellular region
PF02159	13	Oestrogen receptor
PF02161	8	Progesterone receptor
PF02162	5	XYPPX repeat (two copies)
PF02163	47	Peptidase family M50
PF02165	16	Wilm's tumour protein
PF02166	11	Androgen receptor
PF02167	52	Cytochrome C1 family
PF02170	334	PAZ domain
PF02171	317	Piwi domain
PF02172	61	KIX domain
PF02173	48	pKID domain
PF02174	219	PTB domain (IRS-1 type)
PF02175	25	Serpentine type 7TM GPCR chemoreceptor Srb
PF02176	406	TRAF-type zinc finger
PF02177	48	Amyloid A4 N-terminal heparin-binding
PF02178	196	AT hook motif
PF02179	169	BAG domain
PF02180	40	Bcl-2 homology region 4
PF02181	511	Formin Homology 2 Domain
PF02182	114	SAD/SRA domain
PF02183	100	Homeobox associated leucine zipper
PF02184	83	HAT (Half-A-TPR) repeat
PF02185	179	Hr1 repeat
PF02186	49	TFIIE beta subunit core domain
PF02187	121	Growth-Arrest-Specific Protein 2 Domain
PF02188	241	GoLoco motif
PF02189	51	Immunoreceptor tyrosine-based activation motif
PF02190	194	ATP-dependent protease La (LON) substrate-binding domain
PF02191	224	Olfactomedin-like domain
PF02192	61	PI3-kinase family, p85-binding domain
PF02194	138	PXA domain
PF02195	41	ParB-like nuclease domain
PF02196	133	Raf-like Ras-binding domain
PF02197	119	Regulatory subunit of type II PKA R-subunit
PF02198	189	Sterile alpha motif (SAM)/Pointed domain
PF02199	82	Saposin A-type domain
PF02200	4	STE like transcription factor
PF02201	216	SWIB/MDM2 domain
PF02202	1	Tachykinin family
PF02204	303	Vacuolar sorting protein 9 (VPS9) domain
PF02205	298	WH2 motif
PF02206	75	Domain of unknown function
PF02207	188	Putative zinc finger in N-recognin (UBR box)
PF02208	38	Sorbin homologous domain
PF02209	188	Villin headpiece domain
PF02210	1634	Laminin G domain
PF02212	206	Dynamin GTPase effector domain
PF02213	129	GYF domain
PF02214	1067	BTB/POZ domain
PF02218	186	Repeat in HS1/Cortactin
PF02219	67	Methylenetetrahydrofolate reductase
PF02221	199	ML domain
PF02222	22	ATP-grasp domain
PF02223	68	Thymidylate kinase
PF02224	2	Cytidylate kinase
PF02225	585	PA domain
PF02229	64	Transcriptional Coactivator p15 (PC4)
PF02230	132	Phospholipase/Carboxylesterase
PF02233	36	NAD(P) transhydrogenase beta subunit
PF02234	91	Cyclin-dependent kinase inhibitor
PF02237	32	Biotin protein ligase C terminal domain
PF02238	55	Cytochrome c oxidase subunit VII
PF02244	186	Carboxypeptidase activation peptide
PF02245	27	Methylpurine-DNA glycosylase (MPG)
PF02251	48	Proteasome activator pa28 alpha subunit
PF02252	64	Proteasome activator pa28 beta subunit
PF02254	17	TrkA-N domain
PF02256	44	Iron hydrogenase small subunit
PF02257	153	RFX DNA-binding domain
PF02259	194	FAT domain
PF02260	212	FATC domain
PF02262	51	CBL proto-oncogene N-terminal domain 1
PF02263	290	Guanylate-binding protein, N-terminal domain
PF02264	1	LamB porin
PF02265	40	S1/P1 Nuclease
PF02267	44	ADP-ribosyl cyclase
PF02268	43	Transcription initiation factor IIA, gamma subunit, helical domain
PF02269	69	Transcription initiation factor IID, 18kD subunit
PF02270	52	TFIIF, beta subunit HTH domain
PF02271	54	Ubiquinol-cytochrome C reductase complex 14kD subunit
PF02272	56	DHHA1 domain
PF02274	49	Amidinotransferase
PF02275	63	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02278	6	Polysaccharide lyase family 8, super-sandwich domain
PF02284	33	Cytochrome c oxidase subunit Va
PF02285	25	Cytochrome oxidase c subunit VIII
PF02290	49	Signal recognition particle 14kD protein
PF02291	61	Transcription initiation factor IID, 31kD subunit
PF02295	35	Adenosine deaminase z-alpha domain
PF02296	57	Alpha adaptin AP2, C-terminal domain
PF02297	102	Cytochrome oxidase c subunit VIb
PF02298	305	Plastocyanin-like domain
PF02301	137	HORMA domain
PF02309	223	AUX/IAA family
PF02310	59	B12 binding domain
PF02312	30	Core binding factor beta subunit
PF02317	8	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
PF02318	163	FYVE-type zinc finger
PF02319	313	E2F/DP family winged-helix DNA-binding domain
PF02320	54	Ubiquinol-cytochrome C reductase hinge protein
PF02321	4	Outer membrane efflux protein
PF02322	1	Cytochrome bd terminal oxidase subunit II
PF02325	27	YGGT family
PF02326	5	Plant ATP synthase F0
PF02330	84	Mitochondrial glycoprotein
PF02333	1	Phytase
PF02337	12	Retroviral GAG p10 protein
PF02338	387	OTU-like cysteine protease
PF02341	22	RbcX protein
PF02342	5	TerD domain
PF02343	47	TRA-1 regulated protein R03H10.4
PF02344	14	Myc leucine zipper domain
PF02347	91	Glycine cleavage system P-protein
PF02348	35	Cytidylyltransferase
PF02349	1	Major surface glycoprotein
PF02350	17	UDP-N-acetylglucosamine 2-epimerase
PF02351	213	GDNF/GAS1 domain
PF02353	63	Mycolic acid cyclopropane synthetase
PF02354	52	Latrophilin Cytoplasmic C-terminal region
PF02355	1	Protein export membrane protein
PF02357	5	Transcription termination factor nusG
PF02358	173	Trehalose-phosphatase
PF02359	97	Cell division protein 48 (CDC48), N-terminal domain
PF02361	8	Cobalt transport protein
PF02362	544	B3 DNA binding domain
PF02363	289	Cysteine rich repeat
PF02364	163	1,3-beta-glucan synthase component
PF02365	534	No apical meristem (NAM) protein
PF02366	76	Dolichyl-phosphate-mannose-protein mannosyltransferase
PF02367	10	Threonylcarbamoyl adenosine biosynthesis protein TsaE
PF02368	29	Bacterial Ig-like domain (group 2)
PF02372	19	Interleukin 15
PF02373	506	JmjC domain, hydroxylase
PF02374	64	Anion-transporting ATPase
PF02375	210	jmjN domain
PF02376	223	CUT domain
PF02377	51	Dishevelled specific domain
PF02383	225	SacI homology domain
PF02384	4	N-6 DNA Methylase
PF02386	52	Cation transport protein
PF02388	1	FemAB family
PF02389	102	Cornifin (SPRR) family
PF02390	75	Putative methyltransferase
PF02391	46	MoaE protein
PF02392	2	Ycf4
PF02393	6	US22 like
PF02394	15	Interleukin-1 propeptide
PF02401	11	LytB protein
PF02403	75	Seryl-tRNA synthetase N-terminal domain
PF02404	15	Stem cell factor
PF02405	8	Permease MlaE
PF02407	2	Putative viral replication protein
PF02408	93	CUB-like domain
PF02410	49	Ribosomal silencing factor during starvation
PF02412	560	Thrombospondin type 3 repeat
PF02415	6	Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat
PF02416	16	mttA/Hcf106 family
PF02417	23	Chromate transporter
PF02419	1	PsbL protein
PF02421	7	Ferrous iron transport protein B
PF02422	186	Keratin
PF02423	35	Ornithine cyclodeaminase/mu-crystallin family
PF02426	3	Muconolactone delta-isomerase
PF02427	9	Photosystem I reaction centre subunit IV / PsaE
PF02428	7	Potato type II proteinase inhibitor family
PF02431	21	Chalcone-flavanone isomerase
PF02433	1	Cytochrome C oxidase, mono-heme subunit/FixO
PF02434	213	Fringe-like
PF02436	43	Conserved carboxylase domain
PF02437	126	SKI/SNO/DAC family
PF02441	57	Flavoprotein
PF02445	13	Quinolinate synthetase A protein
PF02446	18	4-alpha-glucanotransferase
PF02448	11	L71 family
PF02449	7	Beta-galactosidase
PF02450	140	Lecithin:cholesterol acyltransferase
PF02452	2	PemK-like, MazF-like toxin of type II toxin-antitoxin system
PF02453	182	Reticulon
PF02458	485	Transferase family
PF02460	394	Patched family
PF02463	321	RecF/RecN/SMC N terminal domain
PF02464	4	Competence-damaged protein
PF02466	317	Tim17/Tim22/Tim23/Pmp24 family
PF02469	675	Fasciclin domain
PF02470	10	MlaD protein
PF02475	83	Met-10+ like-protein
PF02480	2	Alphaherpesvirus glycoprotein E
PF02482	9	Sigma 54 modulation protein / S30EA ribosomal protein
PF02485	316	Core-2/I-Branching enzyme
PF02487	85	CLN3 protein
PF02492	131	CobW/HypB/UreG, nucleotide-binding domain
PF02493	3047	MORN repeat
PF02494	147	HYR domain
PF02496	20	ABA/WDS induced protein
PF02500	1	Probable DNA packing protein, N-terminus
PF02502	8	Ribose/Galactose Isomerase
PF02503	3	Polyphosphate kinase middle domain
PF02504	3	Fatty acid synthesis protein
PF02507	8	Photosystem I reaction centre subunit III
PF02511	1	Thymidylate synthase complementing protein
PF02513	822	Spin/Ssty Family
PF02514	17	CobN/Magnesium Chelatase
PF02515	82	CoA-transferase family III
PF02516	88	Oligosaccharyl transferase STT3 subunit
PF02517	110	CPBP intramembrane metalloprotease
PF02518	491	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF02519	343	Auxin responsive protein
PF02520	77	Domain of unknown function DUF148
PF02525	30	Flavodoxin-like fold
PF02527	10	rRNA small subunit methyltransferase G
PF02531	10	PsaD
PF02534	1	Type IV secretory system Conjugative DNA transfer
PF02535	627	ZIP Zinc transporter
PF02536	409	mTERF
PF02537	43	CrcB-like protein, Camphor Resistance (CrcB)
PF02538	52	Hydantoinase B/oxoprolinase
PF02540	88	NAD synthase
PF02541	8	Ppx/GppA phosphatase family
PF02542	9	YgbB family
PF02543	1	Carbamoyltransferase N-terminus
PF02544	196	3-oxo-5-alpha-steroid 4-dehydrogenase
PF02545	60	Maf-like protein
PF02547	3	Queuosine biosynthesis protein
PF02548	30	Ketopantoate hydroxymethyltransferase
PF02550	19	Acetyl-CoA hydrolase/transferase N-terminal domain
PF02551	2	Acyl-CoA thioesterase
PF02558	28	Ketopantoate reductase PanE/ApbA
PF02559	6	CarD-like/TRCF domain
PF02560	8	Cyanate lyase C-terminal domain
PF02562	2	PhoH-like protein
PF02566	4	OsmC-like protein
PF02567	78	Phenazine biosynthesis-like protein
PF02569	23	Pantoate-beta-alanine ligase
PF02570	1	Precorrin-8X methylmutase
PF02574	156	Homocysteine S-methyltransferase
PF02575	8	YbaB/EbfC DNA-binding family
PF02576	6	RimP N-terminal domain
PF02577	19	Bifunctional nuclease
PF02578	15	Multi-copper polyphenol oxidoreductase laccase
PF02580	79	D-Tyr-tRNA(Tyr) deacylase
PF02581	23	Thiamine monophosphate synthase
PF02582	75	Uncharacterised ACR, YagE family COG1723
PF02585	60	GlcNAc-PI de-N-acetylase
PF02586	44	SOS response associated peptidase (SRAP)
PF02588	1	Uncharacterised 5xTM membrane BCR, YitT family COG1284
PF02589	6	LUD domain
PF02590	9	Predicted SPOUT methyltransferase
PF02592	1	Putative vitamin uptake transporter
PF02594	35	Uncharacterised ACR, YggU family COG1872
PF02595	3	Glycerate kinase family
PF02597	26	ThiS family
PF02598	46	Putative RNA methyltransferase
PF02600	1	Disulfide bond formation protein DsbB
PF02602	47	Uroporphyrinogen-III synthase HemD
PF02605	8	Photosystem I reaction centre subunit XI
PF02606	12	Tetraacyldisaccharide-1-P 4'-kinase
PF02607	30	B12 binding domain
PF02608	13	ABC transporter substrate-binding protein PnrA-like
PF02609	1	Exonuclease VII small subunit
PF02615	25	Malate/L-lactate dehydrogenase
PF02617	54	ATP-dependent Clp protease adaptor protein ClpS
PF02620	11	Large ribosomal RNA subunit accumulation protein YceD
PF02622	36	Uncharacterized ACR, COG1678
PF02626	7	Carboxyltransferase domain, subdomain A and B
PF02627	19	Carboxymuconolactone decarboxylase family
PF02628	52	Cytochrome oxidase assembly protein
PF02629	98	CoA binding domain
PF02630	69	SCO1/SenC
PF02631	7	RecX family
PF02632	1	BioY family
PF02633	1	Creatinine amidohydrolase
PF02635	2	DsrE/DsrF-like family
PF02636	66	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF02637	41	GatB domain
PF02638	5	Glycosyl hydrolase-like 10
PF02646	1	RmuC family
PF02653	13	Branched-chain amino acid transport system / permease component
PF02654	1	Cobalamin-5-phosphate synthase
PF02655	5	ATP-grasp domain
PF02656	41	Domain of unknown function (DUF202)
PF02657	18	Fe-S metabolism associated domain
PF02660	1	Glycerol-3-phosphate acyltransferase
PF02661	39	Fic/DOC family
PF02666	79	Phosphatidylserine decarboxylase
PF02668	225	Taurine catabolism dioxygenase TauD, TfdA family
PF02670	10	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF02671	252	Paired amphipathic helix repeat
PF02672	22	CP12 domain
PF02676	41	Methyltransferase TYW3
PF02677	3	Epoxyqueuosine reductase QueH
PF02678	86	Pirin
PF02679	8	(2R)-phospho-3-sulfolactate synthase (ComA)
PF02681	35	Divergent PAP2 family
PF02682	7	Carboxyltransferase domain, subdomain C and D
PF02683	8	Cytochrome C biogenesis protein transmembrane region
PF02684	18	Lipid-A-disaccharide synthetase
PF02685	20	Glucokinase
PF02686	34	Glu-tRNAGln amidotransferase C subunit
PF02687	12	FtsX-like permease family
PF02689	32	Helicase
PF02690	139	Na+/Pi-cotransporter
PF02694	5	Uncharacterised BCR, YnfA/UPF0060 family
PF02696	59	Uncharacterized ACR, YdiU/UPF0061 family
PF02698	19	DUF218 domain
PF02699	1	Preprotein translocase subunit
PF02701	149	Dof domain, zinc finger
PF02704	62	Gibberellin regulated protein
PF02705	127	K+ potassium transporter
PF02709	182	N-terminal domain of galactosyltransferase
PF02713	17	Domain of unknown function DUF220
PF02714	202	Calcium-dependent channel, 7TM region, putative phosphate
PF02719	3	Polysaccharide biosynthesis protein
PF02721	21	Domain of unknown function DUF223
PF02724	74	CDC45-like protein
PF02727	89	Copper amine oxidase, N2 domain
PF02728	87	Copper amine oxidase, N3 domain
PF02729	81	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF02731	47	SKIP/SNW domain
PF02732	149	ERCC4 domain
PF02733	53	Dak1 domain
PF02734	48	DAK2 domain
PF02735	92	Ku70/Ku80 beta-barrel domain
PF02736	338	Myosin N-terminal SH3-like domain
PF02737	170	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF02738	166	Molybdopterin-binding domain of aldehyde dehydrogenase
PF02739	22	5'-3' exonuclease, N-terminal resolvase-like domain
PF02740	11	Colipase, C-terminal domain
PF02743	16	Cache domain
PF02744	33	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02746	25	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02747	55	Proliferating cell nuclear antigen, C-terminal domain
PF02749	36	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02750	55	Synapsin, ATP binding domain
PF02751	45	Transcription initiation factor IIA, gamma subunit
PF02752	376	Arrestin (or S-antigen), C-terminal domain
PF02754	3	Cysteine-rich domain
PF02755	305	RPEL repeat
PF02756	36	GYR motif
PF02757	55	YLP motif
PF02758	198	PAAD/DAPIN/Pyrin domain
PF02759	411	RUN domain
PF02760	30	HIN-200/IF120x domain
PF02761	50	CBL proto-oncogene N-terminus, EF hand-like domain
PF02762	47	CBL proto-oncogene N-terminus, SH2-like domain
PF02765	41	Telomeric single stranded DNA binding POT1/CDC13
PF02769	192	AIR synthase related protein, C-terminal domain
PF02770	575	Acyl-CoA dehydrogenase, middle domain
PF02771	390	Acyl-CoA dehydrogenase, N-terminal domain
PF02772	92	S-adenosylmethionine synthetase, central domain
PF02773	92	S-adenosylmethionine synthetase, C-terminal domain
PF02774	34	Semialdehyde dehydrogenase, dimerisation domain
PF02775	135	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	135	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02777	98	Iron/manganese superoxide dismutases, C-terminal domain
PF02778	26	tRNA intron endonuclease, N-terminal domain
PF02779	323	Transketolase, pyrimidine binding domain
PF02780	206	Transketolase, C-terminal domain
PF02781	109	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02782	190	FGGY family of carbohydrate kinases, C-terminal domain
PF02784	184	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02785	191	Biotin carboxylase C-terminal domain
PF02786	347	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787	77	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02788	6	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF02789	51	Cytosol aminopeptidase family, N-terminal domain
PF02790	5	Cytochrome C oxidase subunit II, transmembrane domain
PF02791	144	DDT domain
PF02792	54	Mago nashi protein
PF02793	367	Hormone receptor domain
PF02797	119	Chalcone and stilbene synthases, C-terminal domain
PF02798	782	Glutathione S-transferase, N-terminal domain
PF02799	65	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
PF02800	161	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF02801	293	Beta-ketoacyl synthase, C-terminal domain
PF02803	234	Thiolase, C-terminal domain
PF02805	1	Metal binding domain of Ada
PF02806	116	Alpha amylase, C-terminal all-beta domain
PF02807	143	ATP:guanido phosphotransferase, N-terminal domain
PF02809	287	Ubiquitin interaction motif
PF02810	16	SEC-C motif
PF02811	23	PHP domain
PF02812	79	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02813	14	Retroviral M domain
PF02815	248	MIR domain
PF02816	152	Alpha-kinase family
PF02817	133	e3 binding domain
PF02818	50	PPAK motif
PF02819	3	Spider toxin
PF02820	515	mbt repeat
PF02822	129	Antistasin family
PF02823	50	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
PF02824	171	TGS domain
PF02825	309	WWE domain
PF02826	368	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02827	42	cAMP-dependent protein kinase inhibitor
PF02828	245	L27 domain
PF02833	51	DHHA2 domain
PF02836	75	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	51	Glycosyl hydrolases family 2, sugar binding domain
PF02838	9	Glycosyl hydrolase family 20, domain 2
PF02840	49	Prp18 domain
PF02841	177	Guanylate-binding protein, C-terminal domain
PF02843	52	Phosphoribosylglycinamide synthetase, C domain
PF02844	51	Phosphoribosylglycinamide synthetase, N domain
PF02845	250	CUE domain
PF02847	335	MA3 domain
PF02852	201	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF02854	422	MIF4G domain
PF02861	165	Clp amino terminal domain, pathogenicity island component
PF02862	150	DDHD domain
PF02864	104	STAT protein, DNA binding domain
PF02865	96	STAT protein, protein interaction domain
PF02866	239	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	60	Ribonucleotide reductase, barrel domain
PF02868	1	Thermolysin metallopeptidase, alpha-helical domain
PF02870	12	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF02872	92	5'-nucleotidase, C-terminal domain
PF02873	3	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02874	214	ATP synthase alpha/beta family, beta-barrel domain
PF02875	19	Mur ligase family, glutamate ligase domain
PF02877	122	Poly(ADP-ribose) polymerase, regulatory domain
PF02878	221	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	132	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	147	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02881	118	SRP54-type protein, helical bundle domain
PF02882	149	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02883	217	Adaptin C-terminal domain
PF02885	32	Glycosyl transferase family, helical bundle domain
PF02886	148	LBP / BPI / CETP family, C-terminal domain
PF02887	160	Pyruvate kinase, alpha/beta domain
PF02888	67	Calmodulin binding domain
PF02889	292	Sec63 Brl domain
PF02891	141	MIZ/SP-RING zinc finger
PF02892	382	BED zinc finger
PF02893	521	GRAM domain
PF02894	68	Oxidoreductase family, C-terminal alpha/beta domain
PF02896	26	PEP-utilising enzyme, TIM barrel domain
PF02897	98	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02898	54	Nitric oxide synthase, oxygenase domain
PF02899	1	Phage integrase, N-terminal SAM-like domain
PF02900	52	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02901	9	Pyruvate formate lyase-like
PF02902	655	Ulp1 protease family, C-terminal catalytic domain
PF02906	66	Iron only hydrogenase large subunit, C-terminal domain
PF02910	66	Fumarate reductase flavoprotein C-term
PF02911	75	Formyl transferase, C-terminal domain
PF02912	1	Aminoacyl tRNA synthetase class II, N-terminal domain
PF02913	147	FAD linked oxidases, C-terminal domain
PF02915	11	Rubrerythrin
PF02916	2	DNA polymerase processivity factor
PF02919	65	Eukaryotic DNA topoisomerase I, DNA binding fragment
PF02921	54	Ubiquinol cytochrome reductase transmembrane region
PF02922	91	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02926	85	THUMP domain
PF02928	117	C5HC2 zinc finger
PF02929	14	Beta galactosidase small chain
PF02931	1267	Neurotransmitter-gated ion-channel ligand binding domain
PF02932	1213	Neurotransmitter-gated ion-channel transmembrane region
PF02933	96	Cell division protein 48 (CDC48), domain 2
PF02934	47	GatB/GatE catalytic domain
PF02935	30	Cytochrome c oxidase subunit VIIc
